Region,1991 Census,1996 Census,2001 Census,2006 Census,2009 Estimate,2010 Estimate
Auckland,943773,1068660,1158891,1303068,1436500,1459700
Bay of Plenty,203982,224364,239415,257379,272300,275000
Canterbury,438171,468039,481431,521832,559200,565800
Gisborne,44265,45786,43974,44499,46200,46600
Hawkes Bay,138342,142791,142950,147783,153400,154800
Manawatu-Wanganui,224760,228771,220089,222423,230200,231500
Marlborough,35148,38397,39561,42558,45000,45300
Nelson,36459,40278,41568,42888,45000,45500
Northland,126786,137052,140130,148470,155800,157300
Otago,177525,185085,181542,193800,205400,207400
Southland,99954,97098,91002,90876,93500,94200
Taranaki,107124,106590,102858,104124,108100,109100
Tasman,34026,37974,41352,44625,46800,47300
Waikato,331026,350112,357726,382716,406500,411500
Wellington,400284,414048,423765,448959,478600,483200
West Coast,31563,32511,30303,31326,32600,32700